id,pubdate,title,body,link,section1,section2,section3
25618,2020-07-26 12:58,Casket of civil rights icon John Lewis crosses Selma bridge,"The late U.S. Rep. John Lewis has crossed Selma's Edmund Pettus Bridge in Alabama for the final time as remembrance ceremonies continue for the civil rights icon.

A processional with Lewis's casket was carried Sunday across the bridge where he and other civil rights marchers were beaten 55 years ago on Bloody Sunday, a key event in the fight for voting rights for African Americans. Lewis will lie in repose at the Alabama capitol on Sunday afternoon.

A crowd began gathering near the bridge before the crossing as state troopers and police officers stood along the barricaded sidewalks nearby.

A series of events began Saturday in Lewis's hometown of Troy, Ala., to pay tribute to the late Democratic congressman and his legacy. He will lie in state at the U.S. Capitol next week before his private funeral Thursday at Atlanta's historic Ebenezer Baptist Church, which the Rev. Martin Luther King Jr. once led.

A man from the Willie Watkins Funeral Home scatters rose petals representing the blood spilled on Bloody Sunday on the Edmund Pettus Bridge, before the start of the procession for Lewis on Sunday in Selma, Ala. (Elijah Nouvelage/Reuters)

A native of Pike County, Ala., Lewis became involved in the civil rights movement as a young man.

In 1965, he and other marchers were beaten in Selma. The news coverage of the event helped galvanize support for the passage of the Voting Rights Act of 1965.

Frank and Ellen Hill drove more that four hours from Monroe, La., to watch the procession.

Lewis speaks on the bridge on March 1 to help mark the annual Bloody Sunday march in Selma. Lewis led hundreds of marchers across the Edmund Pettus Bridge on March 7, 1965 as they faced attacks by state troopers. (Joshua Lott/AFP/Getty Images)

Frank Hill, 60, said he remembers, as an African American child, watching news footage of Lewis and other civil rights marchers being beaten by law enforcement officers.

""I had to come back and see John Lewis cross the bridge for the last time,"" said Hill. ""It's funny to see the state troopers here to honour and respect him rather than beat the crap out of him,"" Hill said.

Lewis, 80, died July 17 several months after he was diagnosed with advanced pancreatic cancer.",https://www.cbc.ca/news/world/john-lewis-congressman-memorial-selma-1.5663659?cmp=rss,news,world,
25617,2020-07-26 12:43,"Coach, teammates of Laurent Duvernay-Tardif offer support after lineman opts to sit out NFL season","The players and coaches of Kansas City's NFL team are standing behind offensive lineman Laurent Duvernay-Tardif, who has decided to sit out the upcoming season in order to continue providing front-line care in the fight against COVID-19.

The team's head coach, Andy Reid, told a news conference Saturday that he was proud of the Quebec-born Super Bowl champion.

""I'm a huge Larry Duvernay-Tardif fan. I also was raised by a doctor, so I understand the dedication that it takes to be a doctor. We're all blessed to have doctors in our lives,"" Reid said.

The 29-year-old from Mont-Saint-Hilaire, Que., has a medical degree from McGill University, and began working at a long-term care facility in Quebec as an patient attendant in April, less than three months after winning the Super Bowl.

At the time, Quebec's long-term care facilities, known as CHSLDs, were critically understaffed as the coronavirus had spread rapidly throughout the network.

The provincial government was pleading with Quebecers from all walks of life to volunteer in the facilities in order to provide basic care to the residents, many of whom were going long periods without food or water.

Nearly 4,000 people have died in Quebec's CHSLDs because of the virus, and thousands of health-care workers have been infected.

Duvernay-Tardif' has support of teammates too

Reid said the rest of the team also supports Duvernay-Tardif's decision to continue working as a patient attendant.

""The veteran players support him, and the coaches support him. We know ... when the football is over, this is going to be one of the best doctors ever,"" Reid said.

Quarterback Patrick Mahomes said though he was surprised by the decision, he understands why his teammate made the choice he did.

Duvernay-Tardif won a Super Bowl ring in February as an offensive guard with the Kansas City NFL team. (John Bazemore/AP Photo)

""I know it was difficult for him, but you respect the decision, for him to kind of put his thoughts aside and kind of do what he thought was best to help out his community and the world as he sees it,"" Mahomes said in a press conference Saturday.

Duvernay-Tardif ultimately decided if he was going to take a COVID-19 related risk, it would be while working with patients, not while playing football, said agent Sasha Ghavami.

""I'm not worried for him. He'll keep in shape and be ready to go back. He is an excellent athlete, and very committed in his approach."" Ghavami said.

The 2020 NFL season is currently scheduled to begin September 10.",https://www.cbc.ca/news/canada/montreal/coach-teammates-of-laurent-duvernay-tardif-offer-support-after-lineman-opts-to-sit-out-nfl-season-1.5663590?cmp=rss,news,canada,montreal
25612,2020-07-26 11:36,"Armed activists demand justice in Louisville, Breonna Taylor's hometown","Hundreds of armed, predominantly Black activists demanded justice for Breonna Taylor during peaceful demonstrations on Saturday in her Kentucky hometown that drew counter-protesters from a white militia group.

Police closed streets and set up barricades to keep the two groups apart as tensions remained on edge in Louisville, where protests have flared for months over the death of Taylor, a Black woman killed when police busted into her apartment in March.

By the time Black activists dressed in black fatigues arrived in the heart of downtown Saturday afternoon, most of the white militia members had already left. Police in full riot geared looked on.

Earlier in the day, three people were accidentally shot at a park where Black activists had gathered, police said. The victims, all of whom were members of the militia group, were taken to a hospital with non-life-threatening injuries, police said.

Participants openly displayed firearms during the march through downtown Louisville to demand justice for Breonna Taylor, a young Black emergency medical technician who was shot and killed by police in her home March 13. (Timothy D. Easley/The Associated Press)

""This is a tragic situation that could have been much worse,"" Louisville Metro Police Chief Robert Schroeder said in a news release. ""I encourage anyone choosing to exercise their Second Amendment rights to do so responsibly.""

The Black activists had converged on Louisville to demand justice for Taylor. Calls for a national reckoning over racism and police brutality intensified following the deaths of Taylor and George Floyd in Minneapolis.

Members of the all-Black group NFAC march toward Louisville's Hall of Justice. (Bryan Woolston/Reuters)

""This is something that has been happening around the country for years and years and years,"" said Brianna Wright, who joined in the demonstrations Saturday.

""This is nothing new,"" she said. ""The justice we get for her will influence justice around the entire country. And if we don't get justice ... it will also influence the entire country. Because they'll think, 'It's OK, we can get away with it.' But we need to show them that Black people are not going to stand for this anymore.""

The only confrontation among the competing groups appeared to occur earlier Saturday, when white militia members and Black Lives Matter activists yelled at each other over the police barricades.

Grand Master Jay, NFAC leader, prepares to lead his followers on a march during a rally in Louisville on Saturday. (Bryan Woolston/Reuters)

Kentucky Attorney General Daniel Cameron's office is heading an investigation into Taylor's death.

Taylor, a 26-year-old EMT, was fatally shot when police officers burst into her Louisville apartment with a battering ram, using a no-knock warrant during a narcotics investigation.

The warrant to search her home was in connection with a suspect who did not live there and no drugs were found.",https://www.cbc.ca/news/world/louisville-armed-activists-1.5663599?cmp=rss,news,world,
25615,2020-07-26 11:25,"Clippers' Lou Williams will quarantine, miss games after trip to favourite restauarant","The NBA said Sunday that Lou Williams of the Los Angeles Clippers is being quarantined for 10 days because of his trip out of the league's bubble last week to attend a family member's funeral.

He will miss at least two of the Clippers' seeding games, including their July 30 opener against the Los Angeles Lakers. It's possible he could miss more than two since his likely release will be Aug. 4, the day of the Clippers' third seeding game.

The issue was not that Williams left the bubble but that he also went to a club on that trip to Atlanta, and photographs of that visit — with him wearing a type of mask that the NBA distributed inside the bubble at Walt Disney World — appeared on social media.

That prompted an investigation by NBA security, and ultimately the 10-day ruling. Williams visited a club that he has often described as being his favourite restaurant, and the establishment even has chicken wings that are named for him on the menu.

But by being in a group of people and potentially exposing himself to coronavirus, the NBA decided that a longer quarantine was what's required to ensure the safety of those in the bubble.

Zion Williamson of the New Orleans Pelicans got only a four-day quarantine after leaving the bubble earlier this month for a family matter. Williamson received the shorter quarantine because was tested daily during his absence and continually was negative, plus satisfied other NBA requirements.

The Clippers were not practicing Sunday and not expected to comment on the NBA's ruling before Monday. They had 10 players available for their scrimmage game against the Washington Wizards on Saturday night. With Montrezl Harrell and Patrick Beverley also having left the bubble for personal reasons and now Williams gone for an extended absence, they'll be short-handed for the foreseeable future as well.

""It's a challenge, you know, because we only have 10 guys,"" Clippers coach Doc Rivers said Saturday night. ""That makes it really challenging. There's no breaks in practice, so you tend to not go as long. You feel like you don't get half the stuff in that you want to get in. So no, it's been a challenge. I'd love to say it hasn't been, but it's been a definite challenge.""

Williams is a Sixth Man of the Year candidate this season, averaging 18.7 points this season for the Clippers. The Clippers have secured a playoff spot and enter the restart sitting second in the Western Conference, 5 1/2 games behind the Lakers and 1 1/2 games ahead of third-place Denver.",https://www.cbc.ca/sports/basketball/nba/nba-clippers-lou-williams-quarantine-1.5663625?cmp=rss,sports,basketball,nba
25613,2020-07-26 11:03,"Former NHL forward Eddie Shack, who won 4 Stanley Cups with the Maple Leafs, dies at 83","Eddie Shack, one of the NHL's most colourful players on and off the ice, has died. He was 83.

The Toronto Maple Leafs announced the news in a tweet Sunday morning.

The Maple Leafs are deeply saddened by the passing of Eddie Shack.<br><br>A three-time all star and four-time Stanley Cup champion, Eddie entertained Leafs fans on the ice for nine seasons and for decades off of it. He will be greatly missed.<br><br>Our thoughts are with his family. <a href=""https://t.co/vMz0pznuNv"">pic.twitter.com/vMz0pznuNv</a> —@MapleLeafs

Known for his bruising style, distinctive skating gait and larger-than-life personality, Shack won four Stanley Cups with Toronto in the 1960s, including the franchise's last victory in 1967.

Nicknamed ""The Entertainer"" — with his trademark cowboy hat and luxurious moustache — he scored the winning goal for the Leafs in the 1963 final.

The native of Sudbury, Ont., played parts of 17 seasons from 1958 through 1975 with six different teams, including nine years with the Maple Leafs.

Shack collected 239 goals, 465 points and 1,431 penalty minutes in 1,047 NHL games. The winger added six goals and seven assists and 151 penalty minutes in 74 playoff contests.

In October 2016, Shack was listed as No. 68 on The One Hundred, a list of the 100 greatest Leafs that was released as part of the team's centennial anniversary.

Shack was no ordinary player

Not many hockey players are celebrated in a song or top the charts. But Shack was no ordinary hockey player.

Clear the Track by Douglas Rankine with The Secrets, started: ""Clear the track, here comes Shack. He knocks 'em down and he gives 'em a whack. He can score goals, he's got a knack. Eddie, Eddie Shack.""

The song, the brainchild of broadcaster Brian McFarlane, debuted in February 1966 and topped the Toronto music chart.

Shack was a bull in a china shop and took a toll on the opposition, knocking out Gordie Howe twice. But he recalled striking a deal with the legendary Howe that ended their on-ice hostilities when they met at a golf tournament in Vermont.

They agreed not to hit each other from then on, shaking hands on it.

Shack recalled Jean Beliveau asking him why he would hit him and then apologize.

""I said, 'Jean, sometimes I lie,""' he said with a laugh in a TV interview in November 2019.

But Shack also knew when he was outmatched, famously skating away from Bob Kelly and the Plager brothers in a game against St. Louis in the early 70s.

Won 4 Stanley Cups with Maple Leafs

Shack drifted away from the Leafs' organization after retiring, but like many players from the team's 1960s dynasty, had returned to the fold in recent years.

Born to Ukrainian immigrants on Feb. 11, 1937, Shack was working at a butcher's shop in Sudbury when he tried out for the Guelph Biltmores of the Ontario Hockey Association. He went to play five seasons for the Biltmores and one for the AHL Providence Reds before signing with the New York Rangers, the Biltmores' parent club.

Shack made his NHL debut in 1958 and was traded to Toronto in 1960 after refusing to go to Detroit.

He won the Cup with the Leafs in 1962, '63, '64 and '67.

Shack scored a career-high 26 goals with Toronto in 1966, but was traded to the Boston Bruins the next spring following the Leafs' final Cup win. He would go on to play with the Los Angeles Kings, Buffalo Sabres and Pittsburgh Penguins before returning to Toronto for two final seasons.",https://www.cbc.ca/sports/hockey/nhl/eddie-shack-dies-fomer-toronto-maple-leafs-1.5663614?cmp=rss,sports,hockey,nhl
25611,2020-07-26 9:46,Simona Halep withdraws from Palermo Open after quarantine order,"Second-ranked Simona Halep withdrew from the Palermo Ladies Open Sunday following a quarantine ordinance issued by Italy's health ministry.

""Given the recent rise in Covid19 cases in Romania and my anxieties around international air travel at this time, I have made the tough decision to withdraw from Palermo,"" Halep tweeted. ""I want to thank the tournament director and the Italian ministry of health for all efforts on my behalf.""

The Aug. 3-9 tournament announced Sunday that the Romanian player's manager, Virginia Ruzici, had informed Palermo officials of the decision.

The move comes after Italy's health minister on Friday signed an ordinance requiring all those who have in the last 14 days stayed in Romania or Bulgaria to quarantine.

'We are disheartened and deeply upset'

""We were filled with regret when informed of the news,"" tournament director Oliviero Palma said. ""We had informed Halep's staff in detail about the fact that professional players shouldn't have to go into quarantine.

""But nevertheless Halep's staff informed us when their decision was already taken. We are disheartened and deeply upset,"" Palma added.

Palma also said that a regional health minister had sent Halep a notice explaining that the government ordinance does not apply to workers, and therefore to professional athletes.

Halep was going to be the headline player for the clay-court tournament, the first professional tour-level tennis event following a five-month break for the coronavirus pandemic.

Four other top-20 players remain entered: No. 14 Johanna Konta of Britain, No. 15 Petra Martic of Croatia, No. 18 Marketa Vondrouíova of the Czech Republic and No. 20 Maria Sakkari of Greece.",https://www.cbc.ca/sports/tennis/simona-halep-withdraws-from-palermo-open-quarantine-1.5663581?cmp=rss,sports,tennis,
25610,2020-07-26 9:13,"12 years after disappearance, Claudette Osborne's family 'will never stop searching'","Brenda Osborne walks down Selkirk Avenue in Winnipeg's North End and lovingly touches the worn, hand-made signs bearing the picture of her daughter Claudette Osborne-Tyo who went missing 12 years ago.

""Twelve years, no answer, no tips, no links, nothing. We just wait every day,"" she said.

On Saturday night, Osborne held a vigil at the spot where her daughter was last seen — the corner of Selkirk Avenue and King Street and opened the ceremony with drumming, an honour song and smudging.

They've done this annually for the last 10 years.

""We want to do this every year to put the word out there that she's not forgotten and we think about her every day,"" Osborne says.

Family placed signs asking for help finding Claudette Osborne-Tyo around the area where she was last seen 12 years ago. (Rachel Bergen/CBC)

She says the youngest of Claudette's four children is now 12 — just days old when her mother went missing.

""It's for them that we do this. We just want to give them hope and that we're not giving up,"" Osborne says.

""Most of all we want [Claudette] home.""

After family members spoke, Claudette's daughters released 12 red balloons to mark the number of years she's been gone.

Twelve red balloons were released into the air on July 25 to mark the 12 years Claudette has been missing. (Rachel Bergen/CBC)

Claudette was last seen at Winnipeg's Lincoln Motor Hotel, now renamed as the Four Crowns Inn, on McPhillips Street.

After leaving the hotel on a mid-summer night, she made numerous calls on pay phones before placing her last call on one that used to be located at the Selkirk Street intersection, about a block away from Main Street.

No one has seen or heard from her since then.

Family, friends and representatives from Mama Bear Clan and Bear Clan Patrol took part in the vigil on Saturday evening. (Rachel Bergen/CBC)

Her sister, Bernadette Smith, who is also the MLA for Point Douglas, says she feels deep anger at the lack of political will to address the ongoing tragedy and wonders if the recommendations made by the Missing and Murdered Indigenous Women and Girls Inquiry will ever be realized.

""It just makes me so angry. I have to worry about my grandchildren, my granddaughters going out, my daughter going out. We shouldn't have to worry about our kids and the violence that's happening,"" she said at the vigil.

""Our family will never stop searching for her, for answers and for justice.""",https://www.cbc.ca/news/canada/manitoba/claudette-osborne-12-years-missing-winnipeg-1.5663488?cmp=rss,news,canada,manitoba
25609,2020-07-26 8:56,"NHL players, staff arrive in Edmonton, Toronto ahead of restart","It's move-in day for NHL players in Toronto and Edmonton.

Twenty-four teams are scheduled to enter bubbles in the two Canadian cities today in advance of the league's restart.

Players and staff will check in to four hotels in Edmonton and two in Toronto, where they will be separated from the general public and undergo daily COVID-19 testing.

Practices will be closed to the media as teams gear up for exhibition games starting Tuesday.

The best-of-five qualifying round starts next Saturday, along with the seeding round for the top four teams in each conference. The Montreal Canadiens, Toronto Maple Leafs, Winnipeg Jets, Edmonton Oilers, Calgary Flames and Vancouver Canucks all are in the qualifying round.

Eastern Conference teams are in Toronto and Western Conference teams are in Edmonton for the first three rounds. The final four teams will all be in Edmonton for the last two rounds of the playoffs.",https://www.cbc.ca/sports/hockey/nhl/nhl-players-staff-arrive-in-edmonton-toronto-ahead-of-restart-1.5663561?cmp=rss,sports,hockey,nhl
25608,2020-07-26 8:00,'I'm leaving a legacy': 1st translator completes stories for Indigenous archives project,"Three years and countless hours of audio material later, Bertha Catholique is the first of 17 people to finish translating stories in her language for the CBC's Indigenous languages archives project.

""I feel like I'm leaving a legacy behind as ... a language keeper and a teacher,"" said Catholique, who is originally from Łútselk'e and speaks Dënësųłinë́ — or Chipewyan.

""I've always been working with my language, and I'm so passionate for my language.""

Catholique says she clocked about 3,500 stories from the archives, which she translated into English. Some of the oldest material she worked on dates back to the early 1970s.

The translators, in Yellowknife, Iqaluit, Whitehorse, Montreal and Toronto, have been working for about three years to preserve and archive 75,000 hours worth of recorded stories collected over six decades in eight Indigenous languages: Gwich'in, Inuvialuktun, Tłı̨chǫ​,​​​ North Slavey, South Slavey, Dënësųłinë́, Cree and Inuktitut.

Archived radio programs at CBC Yellowknife. A team of archivists across the North, as well as Montreal and Toronto, are working to translate 75,000 hours of stories recorded over six decades in eight Indigenous languages. (Chantal Dubuc/CBC)

Among the stories Catholique translated was one she first heard as a child.

In it, her late auntie recalls going out trapping with her family — something they did every spring. But during this particular trip, Catholique's cousin suddenly heard the sound of an airplane while out playing, and discovered it had crashed.

When the family went to investigate, they found a mother who had been killed. But, miraculously, her baby was still alive.

""I always wanted to know the real truth, and she told the truth and I recorded it,"" said Catholique. ""So that really stood out in my mind.""

That's not the only time Catholique has heard a familiar voice on the old tapes. She recognized many people — from cousins, to uncles, to friends.

""The only people that I didn't really know [were] people from [the] Saskatchewan area,"" she said. ""But it's funny — I got to know them through their stories.""

Love for language began in childhood

Catholique has been a translator of sorts since she was a kid.

When her family moved from Łútselk'e to Yellowknife when she was young, she learned to speak Tłı̨chǫ. Her mother also taught her English.

""My dad, he always encouraged me, telling me to go to school to learn the language because he didn't know how to read and write in English. So I taught him how to write his name,"" she said.

""I always interpreted for him then. So ever since then I just thought, 'OK, well I'll just go with the language.' And I love doing it too.""

Bertha Catholique, standing front and centre, with her fellow archivists and other CBC staff at a goodbye party, after she completed archiving in her language. (Loren McGinnis/CBC)

But it's no walk in the park; translating is hard work, Catholique says.

At times, she'd find herself stuck on a word. However, she says she could always find help from the other archivists — even those who don't speak Chipewyan.

""Because we all are originally from the land, even though we have different languages, we all still have the same lifestyle. So that's how we're helping each other,"" she explained.

""Tłı̨chǫ and Chipewyan are almost really close. [Another translator] would say something in Tłı̨chǫ language, and then that's how I'd pick it up.""

Especially when the elders are telling you a joke in their language, it's more funny if you really understand. - Bertha Catholique

There were moments of humour too.

""Especially when the elders are telling you a joke in their language, it's more funny if you really understand,"" Catholique said. ""That's what I like about it.""

CBC North has a vast collection of reel-to-reel tapes, with old radio programs. Some of the stories date back as far as the 1950s. (Chantal Dubuc/CBC)

6 decades, 8 languages, 75,000 hours

The CBC's Indigenous languages archives project is not only a way to preserve the intricate history of the North and its people, but to share it with the rest of the world.

Stories are being digitized from reel-to-reel tape that has been deteriorating over the years — some of it dating back to the 1950s. The hope is to eventually make the recordings available online through different organizations.

It's still like, I can't believe it, like, I did it all by myself. - Bertha Catholique

Catholique says she didn't know much about cataloguing when she first got the job. Now, with thousands of stories under her belt, she's proud of her work.

""It's still like, I can't believe it, like, I did it all by myself,"" she said.

She also has a message for others, which she originally shared in her own language.

""I just told them that it's really good to be educated, to go to school and also hang on to your language,"" she said. ""Because the language makes you a person who you are, and you're stronger if you can speak your language well.""",https://www.cbc.ca/news/canada/north/bertha-catholique-indigenous-archives-project-complete-1.5660440?cmp=rss,news,canada,north
25605,2020-07-26 7:44,Coronavirus: What's happening around the world on Sunday,"The latest:

Global coronavirus case count now exceeds 16 million.

South Korean fans return to professional baseball game, observing strict measures.

North Korea declares emergency in border town over 1st suspected COVID-19 case.

Health experts ask Ottawa to decide on funding domestic vaccine trial.

Ottawa says COVID-19 tracing app now in beta testing.

Brazil President Jair Bolsonaro says he's now negative for COVID-19.

South Korean baseball fans flocked to stadiums on Sunday for the first time this year, happy and excited even as they sat apart from relatives and friends to prevent the spread of the novel coronavirus.

The country's baseball league kicked off its season in May after a five-week delay but without spectators because of COVID-19, which has all but wiped out the global sporting calendar.

The government decided on Friday that some fans can go back, with 10 per cent of seats available at Korean Baseball Organization (KBO) games from Sunday.

All fans have to wear masks, have their temperatures checked, provide contact details and socially distance in the stands. No food or alcohol is allowed, meaning no sales of fan favourites, beer and chicken.

Tickets for the 2,424 seats up for grabs sold out in 25 minutes, said an official with the Doosan Bears, who were up against the LG Twins on Sunday.

South Korea reported 113 new cases on Saturday — the largest single-day increase in almost four months.

As of Sunday morning, the global coronavirus case count topped 16 million, with more than 644,000 deaths due to the virus and 9.2 million cases considered recovered, according to data from Johns Hopkins University.

In North Korea, leader Kim Jong-un has declared an emergency and lockdown in a border town after a person suspected of being infected with the coronavirus returned from South Korea after illegally crossing the border, state media said on Sunday.

If confirmed, it would be the first case officially acknowledged by North Korean authorities.

North Korean leader Kim Jong-un holds an emergency enlarged meeting of Political Bureau of WPK Central Committee in this undated photo released on Sunday. (North Korean Central News Agency via Reuters)

Kim convened an emergency politburo meeting in response to what he called a ""critical situation in which the vicious virus could be said to have entered the country,"" the North's KCNA state news reported.

A person who defected to South Korea three years ago returned across the fortified border that divides the two Koreas to the town of Kaesong this month with symptoms of COVID-19, the disease caused by the virus, KCNA reported.

U.K. defends Spain travel rule

In Britain, meanwhile, the country's foreign secretary defended the government's decision to immediately impose a 14-day quarantine for U.K. travellers returning from Spain, saying it just wasn't possible to give them more notice.

Dominic Raab told Sky News that vague advice would have created more uncertainty. He said that the government must be able to take quick action to fight the virus.

British tourists returning to U.K. check in at Gran Canaria Airport on the island of Gran Canaria, Spain, on Saturday. (Borja Suarez/Reuters)

The quick decision threw the plans of thousands into chaos — many of whom were startled to see such a decision imposed so quickly.

Zeta Hill is among them. The teacher from Essex in southeast England had been on holiday in Mallorca for 12 days and is due to fly back on Tuesday.

She said that while she knew she was taking a risk, the Balearic islands haven't been as badly affected as other parts of Spain.

She said that she and her husband ""have been well behaved and followed the rules, but then you look at people crowding the beaches in the U.K. a few weeks back and being really unsafe and there will have been no consequences for them.""

WATCH | Masks now mandatory in much of England:

Face coverings are now required inside most enclosed public spaces in England. England is also offering most people a free flu vaccine to guard against overwhelming hospitals this flu season. 3:31

Spain has reported more than 900 new daily infections for the last two days as authorities warn that the country that lost over 28,000 lives before getting its outbreak under control could be facing the start of a second major outbreak.

Britain has Europe's worst outbreak, with over 45,800 confirmed virus-related deaths.

TUI, Europe's biggest holiday company, said on Sunday it had decided to cancel all holidays to mainland Spain up to and including Sunday Aug. 9.

What's happening with coronavirus in Canada

As of 7:45 p.m. ET on Saturday, Canada has seen 113,556 confirmed coronavirus cases. There are 5,523 active cases overall in the provinces and territories, with 99,115 listed as recovered or resolved. A CBC News tally based on provincial reports, regional health information and CBC's reporting indicates that 8,918 Canadians have died.

To date, labs across 🇨🇦 have tested 3,717,483 people for <a href=""https://twitter.com/hashtag/COVID19?src=hash&ref_src=twsrc%5Etfw"">#COVID19</a>, w\ an average ~3% positive overall. Over the past week, an average of ~44,000 people have been tested daily (w\ 1% +ve) as <a href=""https://twitter.com/hashtag/publichealth?src=hash&ref_src=twsrc%5Etfw"">#publichealth</a> continues to <a href=""https://twitter.com/hashtag/TestandTrace?src=hash&ref_src=twsrc%5Etfw"">#TestandTrace</a>. —@CPHO_Canada

Canadian charities are seeing a major drop in fundraising and participation in their running events due to COVID-19 restrictions.

Public health orders have restricted large gatherings of people throughout the spring and summer, so charities like the Canadian Cancer Society can't hold formal events like the Run for the Cure — with opening and closing events or an official race day.

The organization says it has half the participation in its runs compared to this time last year and expects to bring in half as much revenue.

Ontario reported 138 new cases on Saturday for a total of 38,543. Thirty-three of those cases were in the Windsor-Essex area, which posted the highest number of new infections in the province on Friday — 57 cases — a majority of them involving agri-food workers.

Quebec reported 171 new cases on Saturday for a total of 58,414.

A person has their temperature checked before entering a store in Montreal on Saturday. (Graham Hughes/The Canadian Press)

Saskatchewan reported 37 new cases and 14 new recoveries on Saturday, or a total of 1,136 total cases and 862 recoveries.

Manitoba, which announced four new cases Saturday, enacted a scaled-back Phase 4 plan for reopening.

WATCH | Should bars and restaurants be shut down following uptick?:

Infectious disease expert Dr. Isaac Bogoch says indoor spaces like bars and restaurants are contributing to the uptick in coronavirus cases among younger people, but shutting them down may not be the answer. 3:04

Health officials in British Columbia have announced a new community outbreak of COVID-19 in Haida Gwaii. Until now, the remote islands have managed to avoid any cases, but 13 local residents have now tested positive.

What's happening in the rest of the world

Australia's second-most populous state, Victoria, recorded 459 cases of the new coronavirus, the second-highest daily total and up from 357 cases the previous day, the state's leader said on Sunday.

Premier Daniel Andrews also told a news briefing that Victoria had reported 10 COVID-19 deaths in past 24 hours, Australia's highest ever daily number.

The state's second wave is being driven by workplace infections, including at aged-care and healthcare facilities, big distribution centres, slaughterhouses, cold-storage facilities and warehouses, Andrews said.

People wear face masks during a walk in Melbourne, Australia on Saturday. Effective July 23, face coverings are mandatory for people leaving their homes in the Melbourne metropolitan area or the Mitchell Shire area. Anyone failing to do so is subject to a $200 fine. (Darrian Traynor/Getty Images)

""What that tells you is that some people... are feeling sick, they have symptoms and they are still going to work,"" he said. ""If that continues, then we will just continue to see more and more cases.""

Australia has avoided the worst of coronavirus crisis seen in other countries, but authorities are struggling to contain an outbreak in Victoria. It has recorded more than 14,400 cases so far.

In Japan, officials confirmed 239 new coronavirus infections in Tokyo on Sunday as the capital struggled with a resurgence in cases after the government lifted a state of emergency. The total marks the sixth straight day new cases in the city have exceeded 200.

Passengers wearing protective face masks pass through the automated entranceway at a transit station in Tokyo. (Issei Kato/Reuters)

While Japan was spared the kind of surge in infections that have killed tens of thousands in other countries, Tokyo has raised its coronavirus alert to the highest level after a series of new cases.

In the United States, parents are trying to decide how their children will learn this fall amid the pandemic, weighing the benefits of in-person instruction against the risks that schools could shut their doors again or that their children could contract the virus and pass it on.

Ifeoma Eh, a citizen candidate from Nigeria, stands with others as they take part in a U.S. citizenship ceremony in New York City on July 22. (Shannon Stapleton/Reuters)

About 70 per cent of Americans surveyed for a recent poll think schools should open in the fall, though most of those think it should happen with restrictions.

According to the poll from The Associated Press-NORC Center for Public Affairs. only eight per cent of participants said schools should operate normally.

The U.S. leads the world with more than 4.1 million confirmed infections and over 146,000 deaths, according to data compiled by Johns Hopkins University. Worldwide, more than 15.7 million infections and over 640,000 deaths have been reported.

In Brazil, President Jair Bolsonaro says he has tested negative for the coronavirus. That's based on a fourth test since announcing July 7 he had the virus.

In Africa, the continent's total confirmed coronavirus cases has surpassed 800,000.

That's according to the Africa Centers for Disease Control and Prevention.

South Africa has more than half the reported cases on the continent. But infections are now climbing rapidly in other countries, including Kenya, East Africa's economic hub, with more than 16,000.

<a href=""https://twitter.com/hashtag/COVID19?src=hash&ref_src=twsrc%5Etfw"">#COVID19</a> update for Africa, 25 July 2020 @ 9am Eastern Africa Time: 55 AfricanUnion Member States reporting data below...<br>Cases...810,008 <br>Deaths...17,088 &<br>Recoveries...462,374<br>More information at <a href=""https://t.co/xVh2wZb6q4"">https://t.co/xVh2wZb6q4</a> <a href=""https://twitter.com/hashtag/WearAMask?src=hash&ref_src=twsrc%5Etfw"">#WearAMask</a> <a href=""https://twitter.com/hashtag/StayAtHome?src=hash&ref_src=twsrc%5Etfw"">#StayAtHome</a> <a href=""https://twitter.com/hashtag/AfricaResponds?src=hash&ref_src=twsrc%5Etfw"">#AfricaResponds</a><a href=""https://twitter.com/hashtag/FactsNotFear?src=hash&ref_src=twsrc%5Etfw"">#FactsNotFear</a> <a href=""https://t.co/9YOYm1b4mF"">pic.twitter.com/9YOYm1b4mF</a> —@AfricaCDC

China, where COVID-19 first emerged late last year, reported 46 new cases on Sunday, the highest daily tally in more than a month.

Authorities confirmed 22 cases in Urumqi, a city in the Xinjiang region in the country's far west, the official Xinhua News Agency said.

That raised the total in the local outbreak to 137 since the first case was detected 10 days ago. Another 13 cases were confirmed in Liaoning province in the northeast, bringing the total there to 25, almost all in the city of Dalian.",https://www.cbc.ca/news/world/coronavirus-july-26-covid-19-1.5663538?cmp=rss,news,world,
